ID	TP/FP	alt support	ref support
HG2_10X_SVrefine210Xhap12_1039	TP	32	35
HG3_Ill_150bpfermikitraw_1732	FP	34	14
HG2_Ill_GATKHC_2196	TP	46	16
HG3_PB_HySA_2090	FP	15	30
HG4_Ill_250bpfermikitraw_1803	TP	29	0
HG4_Ill_250bpfermikitraw_1804	TP	23	22
HG3_Ill_150bpfermikitraw_1734	TP	14	2
HG3_Ill_Krunchall_1895	TP	14	20
HG2_Ill_GATKHC_2198	TP	14	20
HG3_Ill_GATKHCSBGrefine_907	TP	38	24
HG2_Ill_250bpfermikitraw_1821	TP	60	0
HG3_Ill_MetaSV_382	TP	28	57
HG2_Ill_scalpel_1316	TP	17	16
HG4_Ill_Krunchall_1956	TP	60	18
HG4_Ill_FB_1250	TP	24	0
HG2_PB_assemblyticsfalcon_2046	TP	141	0
HG4_10X_allpass_235	TP	1	14
HG2_PB_SVrefine2Falcon2Bionano_429	TP	17	-1
HG4_Ill_FB_1251	FP	8	14
HG2_Ill_FB_1274	TP	45	1
HG2_PB_SVrefine2Falcon2Bionano_432	TP	43	-1
HG3_Ill_250bpfermikitraw_1816	TP	37	24
HG2_Ill_GATKHC_2206	TP	38	59
HG3_Ill_150bpfermikitraw_1739	FP	36	55
HG2_PB_SVrefine2PB10Xhap12_1103	TP	5	2
HG2_Ill_svaba_1672	TP	29	22
HG3_Ill_250bpfermikitraw_1819	FP	1	52
HG3_PB_pbsv_1335	TP	22	35
HG3_Ill_GATKHCSBGrefine_914	TP	60	-1
HG3_Ill_GATKHC_2258	TP	52	125
HG2_Ill_GATKHC_2212	TP	9	22
HG4_Ill_svaba_1692	TP	2	-1
HG2_Ill_SVrefine2DISCOVARplusDovetail_1083	TP	22	1
HG3_PB_SVrefine2Falcon1Dovetail_851	TP	18	29
HG3_Ill_svaba_1713	TP	26	-1
HG3_Ill_GATKHCSBGrefine_917	TP	3	0
HG2_Ill_svaba_1676	TP	1	4
HG3_Ill_svaba_1715	TP	20	12
HG2_Ill_250bpfermikitraw_1834	TP	35	5
HG4_Ill_Krunchall_1968	TP	20	-1
HG2_Ill_svaba_1678	TP	63	0
HG2_Ill_Krunchall_1884	TP	21	33
HG3_Ill_250bpfermikitraw_1825	TP	20	18
HG2_PB_assemblyticsfalcon_2063	TP	56	1
HG3_Ill_svaba_1719	TP	54	42
HG4_Ill_svaba_1702	TP	33	2
HG4_Ill_150bpfermikitraw_1773	TP	18	33
HG2_PB_HySA_2654	TP	22	166
HG4_Ill_250bpfermikitraw_1824	TP	24	24
HG2_10X_SVrefine210Xhap12_1052	TP	17	20
HG2_Ill_Krunchall_1889	TP	23	22
HG3_Ill_svaba_1722	TP	19	4
HG4_Ill_FB_1261	TP	29	29
HG2_10X_SVrefine210Xhap12_1053	TP	3	61
HG2_PB_SVrefine2PB10Xhap12_1110	TP	51	-1
HG2_Ill_GATKHC_2227	TP	11	14
HG4_PB_pbsv_1384	TP	1	18
HG2_Ill_GATKHC_2228	TP	10	7
HG2_Ill_SpiralSDKrefine_1336	TP	15	24
HG4_Ill_Krunchall_1978	TP	7	-1
HG2_Ill_250bpfermikitraw_1847	TP	13	-1
HG4_Ill_Krunchall_1979	TP	13	-1
HG4_Ill_GATKHCSBGrefine_945	TP	13	-1
HG3_PB_assemblyticsfalcon_2045	TP	5	0
HG4_Ill_svaba_1708	FP	9	-1
HG2_Ill_250bpfermikitraw_1848	TP	31	28
HG4_Ill_SVrefine2DISCOVARDovetail_1022	TP	33	33
HG4_PB_SVrefine2PBcRDovetail_753	TP	55	-1
HG3_Ill_svaba_1729	TP	19	-1
HG2_PB_SVrefine2PBcRplusDovetail_902	TP	19	21
HG3_Ill_GATKHC_2276	TP	8	-1
HG3_Ill_150bpfermikitraw_1753	TP	15	0
HG3_Ill_SVrefine2DISCOVARDovetail_978	TP	29	26
HG3_Ill_150bpfermikitraw_1754	TP	22	22
HG3_Ill_svaba_1730	TP	8	21
HG2_Ill_GATKHC_2234	TP	38	11
HG2_Ill_GATKHCSBGrefine_922	TP	23	19
HG4_Ill_Krunchall_1983	TP	13	-1
HG2_PB_SVrefine2PB10Xhap12_1118	TP	61	0
HG2_Ill_Cortex_636	TP	20	26
HG4_Ill_Krunchall_1985	TP	51	0
HG3_Ill_MetaSV_388	TP	32	0
HG2_Ill_scalpel_1334	TP	44	8
HG3_Ill_GATKHC_2284	TP	45	2
HG2_Ill_GATKHC_2241	TP	18	26
HG4_PB_pbsv_1397	TP	1	22
HG2_Ill_svaba_1698	TP	40	1
HG2_Ill_Krunchall_1906	TP	27	48
HG2_PB_SVrefine2Falcon1plusDovetail_941	TP	2	-1
HG2_Ill_GATKHCSBGrefine_924	TP	47	0
HG2_Ill_SVrefine2DISCOVARplusDovetail_1095	TP	68	83
HG2_PB_SVrefine2PBcRplusDovetail_913	TP	84	-1
HG4_Ill_250bpfermikitraw_1840	TP	19	-1
HG2_Ill_250bpfermikitraw_1863	TP	16	15
HG3_Ill_svaba_1739	TP	44	1
HG2_PB_SVrefine2Falcon1plusDovetail_945	TP	1	-1
HG2_Ill_250bpfermikitraw_1865	TP	25	1
HG4_PB_SVrefine2Falcon1Dovetail_885	TP	5	-1
HG2_10X_SVrefine210Xhap12_1071	TP	20	-1
HG3_Ill_Cortex_310	FP	2	57
HG2_Ill_scalpel_1339	TP	25	0
HG3_Ill_GATKHC_2293	TP	53	2
HG3_Ill_scalpel_1430	TP	62	1
HG4_Ill_SVrefine2DISCOVARDovetail_1033	FP	47	25
HG4_Ill_FB_1269	TP	20	23
HG3_Ill_scalpel_1431	TP	1	35
HG2_Ill_GATKHCSBGrefine_929	TP	33	0
HG2_PB_SVrefine2Falcon1plusDovetail_950	TP	28	0
HG4_Ill_150bpfermikitraw_1794	TP	27	0
HG3_PB_HySA_2150	FP	1	51
HG2_Ill_scalpel_1344	TP	12	-1
HG3_PB_HySA_2154	FP	1	-1
HG2_Ill_GATKHC_2257	TP	8	-1
HG4_PB_HySA_2121	TP	3	-1
HG3_Ill_150bpfermikitraw_1773	TP	20	23
HG3_PB_SVrefine2PBcRDovetail_768	TP	15	58
HG4_Ill_150bpfermikitraw_1797	TP	54	0
HG3_PB_SVrefine2Falcon1Dovetail_874	FP	2	75
HG4_PB_HySA_2125	TP	26	23
HG4_Ill_150bpfermikitraw_1799	TP	1	-1
HG3_Ill_150bpfermikitraw_1776	FP	17	-1
HG4_Ill_Krunchall_2004	TP	18	-1
HG4_Ill_scalpel_1298	TP	36	0
HG4_PB_SVrefine2Falcon1Dovetail_896	TP	29	0
HG4_PB_HySA_2133	TP	14	-1
HG3_Ill_GATKHCSBGrefine_936	TP	252	-1
HG3_PB_pbsv_1392	TP	19	8
HG2_PB_PB10Xdip_1437	TP	28	0
HG2_Ill_Krunchall_1921	TP	40	0
HG3_PB_HySA_2167	TP	25	51
HG3_Ill_svaba_1753	TP	16	39
HG3_Ill_Krunchall_1941	TP	24	15
HG3_Ill_Krunchall_1942	FP	31	20
HG3_PB_SVrefine2PBcRDovetail_775	TP	9	45
HG2_PB_SVrefine2PBcRplusDovetail_930	TP	11	-1
HG2_PB_SVrefine2Falcon1plusDovetail_960	TP	15	18
HG3_Ill_GATKHC_2309	FP	12	11
HG3_PB_assemblyticsfalcon_2106	TP	5	3
HG4_PB_assemblyticsfalcon_2044	TP	57	0
HG2_PB_assemblyticsfalcon_2122	TP	21	30
HG2_Ill_scalpel_1354	TP	13	21
HG3_Ill_svaba_1760	FP	1	44
HG3_Ill_GATKHCSBGrefine_940	FP	79	-1
HG3_Ill_GATKHC_2315	FP	8	98
HG3_Ill_GATKHC_2316	TP	39	11
HG2_Ill_Krunchall_1928	TP	10	31
HG4_Ill_Krunchall_2012	TP	19	20
HG2_Ill_250bpfermikitraw_1892	TP	17	27
HG2_Ill_150bpfermikitraw_1738	TP	85	24
HG4_Ill_MetaSV_429	FP	1	20
HG3_PB_SVrefine2PBcRDovetail_779	TP	242	20
HG4_Ill_250bpfermikitraw_1865	TP	21	20
HG2_PB_HySA_2729	TP	1	-1
HG3_Ill_250bpfermikitraw_1872	TP	64	-1
HG2_PB_pbsv_1422	TP	1	63
HG3_Ill_FB_1290	FP	2	25
HG2_Ill_GATKHC_2273	TP	33	0
HG3_Ill_250bpfermikitraw_1875	TP	50	13
HG4_Ill_GATKHC_2257	FP	1	51
HG4_Ill_GATKHCSBGrefine_965	TP	96	47
HG2_PB_assemblyticsPBcR_2114	TP	52	0
HG3_Ill_scalpel_1448	TP	17	38
HG4_Ill_scalpel_1309	TP	28	29
HG4_Ill_250bpfermikitraw_1876	TP	44	1
HG3_Ill_scalpel_1451	FP	5	-1
HG3_Ill_scalpel_1452	TP	93	26
HG3_Ill_150bpfermikitraw_1798	TP	45	1
HG4_Ill_150bpfermikitraw_1816	TP	43	0
HG3_Ill_250bpfermikitraw_1884	TP	11	17
HG2_PB_SVrefine2Falcon1plusDovetail_973	TP	1	45
HG3_Ill_scalpel_1456	TP	37	74
HG4_Ill_svaba_1754	TP	39	84
HG2_PB_pbsv_1431	TP	24	6
HG2_Ill_scalpel_1366	TP	5	8
HG3_PB_HySA_2183	TP	6	-1
HG2_Ill_GATKHCSBGrefine_945	TP	16	-1
HG3_Ill_GATKHC_2335	TP	32	23
HG3_Ill_250bpfermikitraw_1886	TP	46	48
HG2_Ill_scalpel_1368	TP	27	31
HG4_Ill_250bpfermikitraw_1883	TP	26	3
HG4_Ill_svaba_1757	TP	60	0
HG4_PB_SVrefine2Falcon1Dovetail_917	TP	54	52
HG3_Ill_Spiral_1515	FP	1	96
HG2_Ill_Krunchall_1945	TP	50	59
HG2_PB_assemblyticsPBcR_2128	TP	83	-1
HG4_Ill_FB_1282	TP	29	0
HG3_Ill_150bpfermikitraw_1809	TP	24	42
HG2_Ill_Krunchall_1948	TP	13	20
HG4_Ill_150bpfermikitraw_1822	TP	23	0
HG4_PB_assemblyticsfalcon_2072	TP	35	9
HG2_PB_SVrefine2Falcon2Bionano_480	TP	43	-1
HG3_Ill_250bpfermikitraw_1895	FP	16	-1
HG3_Ill_250bpfermikitraw_1896	TP	39	0
HG2_Ill_150bpfermikitraw_1757	TP	85	14
HG3_PB_assemblyticsfalcon_2141	TP	56	1
HG4_Ill_250bpfermikitraw_1891	TP	53	0
HG2_PB_SVrefine2Falcon2Bionano_483	TP	10	-1
HG2_PB_SVrefine2Falcon2Bionano_484	TP	41	0
HG2_PB_SVrefine2PB10Xhap12_1171	TP	23	-1
HG2_Ill_250bpfermikitraw_1917	TP	29	43
HG3_Ill_150bpfermikitraw_1817	FP	45	49
HG2_Ill_GATKHC_2304	TP	30	67
HG2_Ill_GATKHCSBGrefine_952	TP	49	39
HG4_Ill_GATKHC_2288	TP	31	-1
HG3_Ill_svaba_1789	TP	23	0
HG2_Ill_150bpfermikitraw_1761	TP	6	-1
HG2_Ill_GATKHC_2307	TP	16	20
HG3_Ill_GATKHCSBGrefine_961	TP	10	36
HG2_Ill_250bpfermikitraw_1922	TP	18	-1
HG3_Ill_GATKHC_2359	TP	23	27
HG2_Ill_GATKHC_2311	TP	23	-1
HG2_Ill_GATKHCSBGrefine_957	TP	9	42
HG2_PB_SVrefine2Falcon1plusDovetail_986	TP	6	-1
HG2_Ill_GATKHC_2312	TP	39	24
HG3_Ill_Cortex_319	TP	54	0
HG2_Ill_svaba_1755	TP	26	0
HG2_Ill_FB_1316	TP	41	0
HG4_Ill_250bpfermikitraw_1902	TP	26	17
HG3_Ill_GATKHC_2364	FP	11	15
HG4_Ill_scalpel_1324	TP	2	22
HG2_Ill_Krunchall_1963	TP	14	23
HG2_Ill_svaba_1760	TP	26	26
HG4_Ill_GATKHCSBGrefine_980	TP	57	30
HG2_Ill_GATKHC_2318	TP	33	0
HG2_PB_PB10Xdip_16831	TP	11	6
HG2_PB_pbsv_1463	TP	1	21
HG4_Ill_GATKHCSBGrefine_983	TP	6	24
HG4_Ill_Cortex_1691	TP	8	25
HG2_Ill_svaba_1762	TP	1	0
HG2_Ill_GATKHC_2321	TP	6	-1
HG3_PB_SVrefine2PBcRDovetail_806	TP	4	34
HG2_Ill_svaba_1763	TP	35	-1
HG2_PB_SVrefine2Falcon2Bionano_492	TP	1	53
HG4_PB_HySA_2194	FP	1	-1
HG2_10X_SVrefine210Xhap12_1120	TP	54	65
HG3_Ill_Krunchall_1984	FP	6	-1
HG3_Ill_250bpfermikitraw_1916	FP	1	45
HG2_10X_SVrefine210Xhap12_1123	TP	1	34
HG4_Ill_svaba_1781	FP	6	-1
HG2_Ill_GATKHC_2324	TP	10	2
HG3_Ill_GATKHC_2380	TP	16	20
HG2_Ill_svaba_1769	TP	15	2
HG2_PB_SVrefine2Falcon1plusDovetail_5849	TP	3	32
HG3_Ill_svaba_1812	TP	10	5
HG2_Ill_svaba_1772	TP	22	10
HG3_Ill_svaba_1814	TP	4	3
HG2_Ill_svaba_1774	TP	5	2
HG2_Ill_Krunchall_1966	TP	34	1
HG2_Ill_SVrefine2DISCOVARplusDovetail_6263	TP	13	15
HG2_Ill_scalpel_1383	TP	10	12
HG3_Ill_FB_1309	FP	1	32
HG3_PB_SVrefine2PBcRDovetail_812	TP	16	0
HG2_Ill_svaba_1778	TP	47	0
HG2_Ill_scalpel_1387	TP	57	0
HG4_Ill_Krunchall_2058	FP	30	30
HG3_PB_SVrefine2PBcRDovetail_813	TP	31	-1
HG4_Ill_250bpfermikitraw_1914	TP	1	0
HG3_Ill_150bpfermikitraw_1835	TP	1	11
HG2_Ill_250bpfermikitraw_1941	TP	3	-1
HG2_Ill_150bpfermikitraw_1772	TP	18	1
HG3_Ill_250bpfermikitraw_1932	FP	1	-1
HG4_Ill_150bpfermikitraw_1852	FP	2	26
HG2_Ill_GATKHC_2333	TP	4	1
HG2_Ill_Krunchall_1971	TP	25	28
HG4_Ill_Krunchall_2062	FP	5	29
HG2_Ill_150bpfermikitraw_1775	TP	7	14
HG3_Ill_scalpel_1484	FP	1	-1
HG3_Ill_GATKHCSBGrefine_977	FP	37	30
HG3_Ill_GATKHC_2402	TP	9	19
HG4_Ill_GATKHC_2322	TP	3	24
HG2_PB_SVrefine2Falcon1plusDovetail_5858	TP	38	33
HG2_Ill_svaba_1784	TP	53	0
HG2_PB_SVrefine2Falcon1plusDovetail_5860	TP	1	6
HG3_Ill_GATKHCSBGrefine_978	FP	3	22
HG4_Ill_GATKHC_2327	FP	2	18
HG4_PB_pbsv_1499	FP	1	35
HG3_Ill_GATKHCSBGrefine_979	TP	44	1
HG3_Ill_svaba_1831	FP	1	30
HG2_PB_SVrefine2PB10Xhap12_1209	TP	1	58
HG3_PB_assemblyticsfalcon_12961	TP	1	25
HG2_Ill_svaba_1786	TP	53	0
HG4_Ill_Krunchall_2070	TP	10	10
HG3_Ill_150bpfermikitraw_1846	FP	21	39
HG2_PB_SVrefine2PB10Xhap12_1212	TP	43	10
HG2_PB_pbsv_1501	TP	1	9
HG4_Ill_SVrefine2DISCOVARDovetail_1067	TP	10	-1
HG3_PB_SVrefine2Falcon1Dovetail_947	TP	3	-1
HG2_Ill_GATKHC_2345	TP	3	-1
HG4_Ill_250bpfermikitraw_1926	TP	27	29
HG2_10X_SVrefine210Xhap12_1142	TP	1	-1
HG3_Ill_GATKHC_2414	TP	14	19
HG2_10X_SVrefine210Xhap12_1143	TP	1	29
HG2_Ill_GATKHC_2348	TP	8	32
HG3_CG_vcfBeta_850	TP	15	20
HG4_Ill_Krunchall_2072	TP	38	0
HG2_PB_SVrefine2PBcRplusDovetail_5414	TP	3	21
HG2_Ill_250bpfermikitraw_1953	TP	41	-1
HG3_PB_assemblyticsfalcon_12978	FP	1	0
HG3_Ill_Cortex_1744	TP	31	2
HG2_Ill_FB_1325	TP	23	19
HG2_Ill_250bpfermikitraw_1956	TP	36	45
HG2_Ill_250bpfermikitraw_1957	TP	116	22
HG2_Ill_GATKHCSBGrefine_969	TP	27	30
HG2_Ill_GATKHC_2356	TP	2	86
HG2_Ill_scalpel_1398	TP	7	257
HG2_PB_SVrefine2PBcRplusDovetail_5419	TP	3	34
HG3_Ill_150bpfermikitraw_1849	TP	14	57
HG2_Ill_svaba_1801	TP	13	22
HG3_Ill_svaba_1843	TP	22	8
HG4_Ill_150bpfermikitraw_1869	TP	25	16
HG2_Ill_GATKHC_2363	TP	15	1
HG2_PB_SVrefine2Falcon2Bionano_514	TP	21	2
HG2_PB_PB10Xdip_17752	TP	9	6
HG2_CG_vcfBeta_872	TP	51	0
HG4_Ill_GATKHCSBGrefine_1000	TP	5	3
HG3_Ill_scalpel_1495	TP	38	2
HG2_Ill_GATKHCSBGrefine_982	TP	46	-1
HG4_Ill_svaba_1824	TP	51	0
HG2_PB_SVrefine2Falcon1plusDovetail_5882	TP	90	-1
HG2_Ill_150bpfermikitraw_1794	TP	22	13
HG3_Ill_150bpfermikitraw_1861	FP	3	28
HG4_PB_SVrefine2PBcRDovetail_836	TP	1	50
HG3_Ill_svaba_1853	TP	2	-1
HG2_Ill_GATKHC_2368	TP	9	-1
HG4_Ill_GATKHCSBGrefine_1012	TP	20	3
HG4_Ill_GATKHC_2363	TP	9	23
HG2_Ill_breakscan11_3111	TP	14	28
HG3_Ill_SVrefine2DISCOVARDovetail_1043	TP	16	42
HG3_Ill_Krunchall_2017	FP	1	22
HG3_Ill_GATKHC_2441	FP	1	3
HG3_PB_pbsv_1530	TP	5	13
HG2_10X_SVrefine210Xhap12_1168	TP	3	27
HG4_Ill_FB_1303	TP	60	0
HG3_Ill_250bpfermikitraw_1963	FP	1	8
HG2_PB_SVrefine2PB10Xhap12_1237	TP	9	-1
HG2_Ill_breakscan11_3114	TP	8	2
HG3_PB_pbsv_1538	TP	1	19
HG3_PB_SVrefine2Falcon1Dovetail_966	FP	6	22
HG3_Ill_svaba_1857	TP	3	-1
HG2_PB_pbsv_1543	TP	1	19
HG4_Ill_150bpfermikitraw_1878	TP	22	0
HG2_Ill_GATKHC_2374	TP	27	8
HG2_Ill_GATKHC_2376	TP	31	5
HG2_Ill_SpiralSDKrefine_8113	TP	47	0
HG4_PB_pbsv_1549	FP	2	7
HG4_Ill_250bpfermikitraw_1945	FP	1	25
HG3_Ill_Krunchall_2021	FP	11	-1
HG2_Ill_GATKHC_2378	TP	35	4
HG4_Ill_scalpel_1355	FP	23	76
HG2_PB_HySA_2856	TP	3	2
HG2_PB_HySA_2858	TP	40	-1
HG3_Ill_scalpel_1502	TP	20	0
HG3_Ill_GATKHCSBGrefine_995	TP	63	0
HG2_10X_SVrefine210Xhap12_1176	TP	1	22
HG2_Ill_SpiralSDKrefine_8117	TP	30	34
HG2_PB_SVrefine2PB10Xhap12_1242	TP	8	19
HG4_PB_assemblyticsfalcon_12787	FP	1	-1
HG4_Ill_GATKHCSBGrefine_1023	TP	22	27
HG2_Ill_Krunchall_1998	TP	23	17
HG4_Ill_Krunchall_2092	TP	59	93
HG2_PB_pbsv_1556	TP	71	80
HG4_Ill_GATKHC_2385	TP	7	20
HG2_PB_SVrefine2Falcon2Bionano_529	TP	16	22
HG2_Ill_SpiralSDKrefine_8120	TP	12	26
HG2_PB_assemblyticsfalcon_12965	TP	6	48
HG3_PB_assemblyticsfalcon_13019	TP	24	0
HG3_Ill_150bpfermikitraw_1872	FP	23	0
HG2_Ill_GATKHC_2390	TP	25	8
HG2_PB_SVrefine2PBcRplusDovetail_5439	TP	2054	-1
HG3_Ill_150bpfermikitraw_1873	TP	38	35
HG4_Ill_150bpfermikitraw_1890	TP	24	0
HG4_Ill_SVrefine2DISCOVARDovetail_1090	FP	27	31
HG3_Ill_GATKHC_2471	TP	43	23
HG2_Ill_MetaSV_2409	TP	12	11
HG3_Ill_FB_1330	TP	12	49
HG3_Ill_250bpfermikitraw_1977	TP	23	27
HG3_Ill_svaba_1874	TP	10	8
HG4_Ill_SVrefine2DISCOVARDovetail_1091	TP	7	34
HG4_Ill_GATKHC_2397	TP	18	21
HG3_PB_pbsv_1562	TP	76	29
HG2_PB_SVrefine2Falcon2Bionano_535	TP	23	14
HG3_Ill_svaba_1875	FP	11	35
HG2_10X_SVrefine210Xhap12_1190	TP	3	33
HG3_Ill_GATKHCSBGrefine_1005	TP	11	6
HG3_Ill_Krunchall_2037	TP	23	21
HG4_Ill_scalpel_1366	FP	2	37
HG4_Ill_GATKHCSBGrefine_1031	TP	11	-1
HG2_Ill_scalpel_1421	TP	17	-1
HG2_Ill_GATKHCSBGrefine_1002	TP	20	0
HG3_PB_assemblyticsfalcon_13035	FP	1	-1
HG2_PB_PB10Xdip_17269	TP	11	9
HG3_Ill_svaba_1880	TP	6	0
HG3_Ill_250bpfermikitraw_1984	TP	23	11
HG4_Ill_Cortex_1703	TP	20	15
HG3_Ill_scalpel_1520	TP	20	33
HG2_10X_allpass_230	TP	33	0
HG4_Ill_150bpfermikitraw_1898	FP	29	27
HG2_Ill_GATKHC_2408	TP	28	-1
HG4_Ill_250bpfermikitraw_1965	TP	10	-1
HG3_Ill_Spiral_1568	TP	3	7
HG4_Ill_GATKHC_2407	TP	17	30
HG2_Ill_150bpfermikitraw_1820	TP	25	19
HG4_Ill_svaba_1855	TP	15	5
HG3_Ill_svaba_1885	TP	80	0
HG4_Ill_SVrefine2DISCOVARDovetail_1096	FP	2	30
HG2_PB_SVrefine2Falcon2Bionano_542	TP	6	-1
HG2_PB_PB10Xdip_17278	TP	2	0
HG2_Ill_GATKHC_2415	TP	6	10
HG2_PB_assemblyticsfalcon_12991	TP	3	3
HG2_Ill_150bpfermikitraw_1821	TP	27	14
HG2_Ill_SpiralSDKrefine_8133	TP	45	43
HG2_Ill_svaba_1841	TP	80	19
HG4_Ill_GATKHCSBGrefine_1046	FP	4	35
HG4_Ill_250bpfermikitraw_1971	TP	31	5
HG2_PB_SVrefine2Falcon2Bionano_543	TP	34	0
HG2_PB_SVrefine2Falcon2Bionano_544	TP	72	15
HG2_Ill_Krunchall_2020	TP	118	2
HG3_PB_SVrefine2Falcon1Dovetail_987	TP	8	-1
HG3_Ill_Spiral_1575	TP	60	0
HG4_Ill_GATKHC_2418	TP	10	5
HG4_Ill_250bpfermikitraw_1975	TP	16	0
HG2_Ill_150bpfermikitraw_1827	TP	8	-1
HG2_Ill_150bpfermikitraw_1828	TP	35	0
HG2_Ill_GATKHCSBGrefine_1012	TP	7	-1
HG2_PB_SVrefine2Falcon2Bionano_546	TP	35	0
HG3_Ill_GATKHCSBGrefine_1019	TP	39	23
HG2_Ill_scalpel_1433	TP	30	15
HG2_Ill_GATKHC_2425	TP	43	-1
HG3_Ill_Spiral_1580	TP	12	1
HG4_Ill_GATKHC_2423	TP	18	19
HG2_Ill_svaba_1848	TP	8	8
HG4_Ill_FB_1318	TP	53	-1
HG4_Ill_FB_1319	TP	5	7
HG3_Ill_GATKHC_2507	FP	18	34
HG3_Ill_150bpfermikitraw_1903	FP	1	40
HG2_PB_SVrefine2PB10Xhap12_1269	TP	1	40
HG3_Ill_GATKHC_2516	FP	5	29
HG3_Ill_GATKHC_2517	FP	4	32
HG3_Ill_Krunchall_2056	FP	2	11
HG3_Ill_Cortex_1758	FP	1	23
HG3_Ill_GATKHC_2520	TP	60	16
HG4_Ill_GATKHC_2428	TP	17	35
HG2_PB_SVrefine2PB10Xhap12_1272	TP	1	-1
HG4_Ill_GATKHC_2429	TP	2	1
HG2_PB_SVrefine2Falcon1plusDovetail_5919	TP	7	12
HG3_Ill_GATKHC_2524	FP	2	-1
HG2_Ill_150bpfermikitraw_1835	TP	37	0
HG3_Ill_Krunchall_2061	TP	43	0
HG4_Ill_svaba_1875	TP	25	2
HG2_Ill_150bpfermikitraw_1838	TP	24	21
HG2_Ill_MetaSV_2419	TP	26	26
HG4_PB_assemblyticsfalcon_12853	TP	61	0
HG2_PB_PB10Xdip_17385	TP	36	-1
HG2_PB_SVrefine2Falcon2Bionano_553	TP	1	-1
HG2_Ill_svaba_1863	TP	1	2
HG4_Ill_Krunchall_2120	TP	15	17
HG3_Ill_Krunchall_2065	TP	47	4
HG3_Ill_GATKHC_2532	TP	15	-1
HG2_PB_SVrefine2Falcon2Bionano_555	TP	21	-1
HG3_Ill_150bpfermikitraw_1913	TP	8	21
HG4_Ill_GATKHC_2439	TP	12	0
HG2_Ill_svaba_1868	TP	4	27
HG3_Ill_scalpel_1540	TP	27	0
HG2_Ill_250bpfermikitraw_2016	TP	26	0
HG3_PB_assemblyticsfalcon_13086	FP	28	44
HG2_PB_SVrefine2Falcon2Bionano_558	TP	413	21
HG2_Ill_250bpfermikitraw_2017	TP	6	10
HG2_Ill_150bpfermikitraw_1844	TP	21	23
HG2_Ill_Krunchall_2035	TP	5	40
HG2_Ill_svaba_1874	TP	41	18
HG2_Ill_250bpfermikitraw_2020	TP	28	13
HG4_Ill_Krunchall_2126	TP	26	23
HG2_PB_SVrefine2Falcon2Bionano_560	TP	35	30
HG4_Ill_Krunchall_2128	FP	1	55
HG3_Ill_FB_1348	TP	29	27
HG3_Ill_Krunchall_2070	TP	23	46
HG2_Ill_MetaSV_2422	TP	66	25
HG3_Ill_250bpfermikitraw_2024	TP	28	0
HG2_PB_assemblyticsPBcR_12619	TP	54	0
HG2_PB_SVrefine2Falcon2Bionano_561	TP	23	0
HG3_PB_pbsv_1609	TP	5	10
HG4_Ill_SVrefine2DISCOVARDovetail_1111	TP	24	22
HG2_PB_pbsv_1617	TP	18	30
HG4_Ill_Krunchall_2130	TP	22	27
HG3_Ill_150bpfermikitraw_1925	TP	15	5
HG2_Ill_GATKHC_2453	TP	56	29
HG2_Ill_manta_421	TP	18	25
HG2_Ill_250bpfermikitraw_2026	TP	10	20
HG2_Ill_GATKHC_2456	TP	24	15
HG3_PB_HySA_2391	TP	58	0
HG3_Ill_scalpel_1548	TP	8	11
HG4_Ill_GATKHC_2455	FP	27	11
HG3_Ill_150bpfermikitraw_1928	TP	14	-1
HG4_PB_pbsv_1627	FP	23	21
HG3_Ill_GATKHCSBGrefine_1030	TP	33	23
HG3_Ill_250bpfermikitraw_2030	TP	38	0
HG3_Ill_SVrefine2DISCOVARDovetail_1082	TP	36	43
HG2_Ill_scalpel_1452	TP	28	15
HG4_Ill_Krunchall_2136	TP	28	0
HG2_Ill_150bpfermikitraw_1856	TP	12	-1
HG3_Ill_150bpfermikitraw_1930	FP	18	-1
HG2_Ill_GATKHC_2462	TP	41	61
HG4_PB_SVrefine2Falcon1Dovetail_1023	TP	6	-1
HG4_PB_SVrefine2Falcon1Dovetail_1024	TP	31	101
HG4_Ill_svaba_1895	FP	3	36
HG2_Ill_GATKHC_2463	TP	25	-1
HG2_Ill_150bpfermikitraw_1859	TP	26	22
HG4_Ill_Krunchall_2141	TP	70	5
HG2_Ill_SVrefine2DISCOVARplusDovetail_6322	TP	19	17
HG4_Ill_150bpfermikitraw_1936	TP	43	2
HG2_PB_assemblyticsfalcon_13056	TP	17	0
HG2_PB_SVrefine2PB10Xhap12_1294	TP	60	0
HG4_Ill_GATKHCSBGrefine_1064	TP	3	-1
HG4_Ill_svaba_1901	TP	8	26
HG3_Ill_Spiral_1616	TP	15	20
HG4_Ill_Krunchall_2145	TP	24	22
HG2_Ill_150bpfermikitraw_1865	TP	88	104
HG2_Ill_GATKHC_2469	TP	26	13
HG3_Ill_Krunchall_2086	TP	43	0
HG2_Ill_svaba_1889	TP	4	10
HG3_Ill_scalpel_1557	FP	4	8
HG2_Ill_scalpel_1456	TP	3	6
HG3_Ill_SVrefine2DISCOVARDovetail_1089	FP	2	34
HG4_Ill_GATKHC_2471	TP	20	37
HG4_Ill_Krunchall_2149	FP	1	76
HG2_Ill_250bpfermikitraw_2041	TP	31	15
HG2_Ill_svaba_1892	TP	104	42
HG3_Ill_GATKHC_2566	TP	9	0
HG3_PB_SVrefine2Falcon1Dovetail_1021	TP	40	33
